Estados,x,y
Acre,-216,59
Alagoas,260,67
Amapa,34,232
Amazonas,-153,148
Bahia,184,32
Ceara,215,134
Distrito Federal,95,-22
Espirito Santo,202,-70
Goias,57,-39
Maranhao,130,137
Mato Grosso,-21,12
Mato Grosso Do Sul,-6,-90
Minas Gerais,143,-62
Para,17,142
Paraiba,233,108
Parana,36,-151
Pernambuco,233,82
Piaui,166,93
Rio De Janeiro,170,-119
Rio Grande Do Norte,255,125
Rio Grande Do Sul,18,-223
Rondonia,-129,57
Roraima,-102,241
Santa Catarina,64,-189
Sao Paulo,75,-113
Sergipe,247,53
Tocantins,86,52
